StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q1,Q6_1,Q10,Q12_1,Q14,Q14_9_TEXT,Q19_1,Q17,Q14_1,Q14_1,Q15,Q17,SurveyName,ID
2022-11-06 18:45:24,2022-11-06 18:46:11,0,68.63.93.64,100,47,1,2022-11-06 18:46:12,R_1ewVg8n3qQQlruF,,,,,33.2,-87.56,anonymous,EN,1,1,7,1,5,"1,2",,6,3,2,10,2,20,,
2022-11-06 18:45:18,2022-11-06 18:46:13,0,68.63.93.64,100,55,1,2022-11-06 18:46:14,R_T1U5Ws9FJdZEhzj,,,,,33.2,-87.56,anonymous,EN,1,1,4,2,,1,,5,2,6,30,2,,,
2022-11-06 18:45:25,2022-11-06 18:47:00,0,73.58.22.180,100,94,1,2022-11-06 18:47:00,R_C7cZ5xkZPeOhl4t,,,,,33.1893,-87.4785,anonymous,EN,1,1,2,1,6,"1,5,6,7",,7,1,6,30,2,,,
2022-11-06 18:47:26,2022-11-06 18:51:11,0,73.58.3.97,100,225,1,2022-11-06 18:51:11,R_3nUVzdJjYatUGME,,,,,33.1669,-87.5064,anonymous,EN,1,1,4,1,6,1,,7,2,1,15,2,21,,
2022-11-06 18:54:11,2022-11-06 18:55:25,0,130.160.200.3,100,73,1,2022-11-06 18:55:25,R_1I4SLFTuCjZ1BXY,,,,,33.2,-87.56,anonymous,EN,1,1,7,1,2,"1,5",,1,1,3,14,2,19,,
2022-11-06 18:54:15,2022-11-06 18:55:26,0,75.102.141.37,100,71,1,2022-11-06 18:55:26,R_1qXxb7UK2qfzu6m,,,,,33.2,-87.56,anonymous,EN,1,1,5,1,2,1,,2,3,3,12,2,21,,
2022-11-06 18:54:25,2022-11-06 18:55:32,0,130.160.194.89,100,67,1,2022-11-06 18:55:32,R_3rIAvcBdekrZOAp,,,,,33.2,-87.56,anonymous,EN,1,1,6,1,7,"1,2,5,6,7",,6,1,4,15,2,,,
2022-11-06 18:54:50,2022-11-06 18:55:42,0,162.253.27.146,100,52,1,2022-11-06 18:55:43,R_d7sEDpFL6N6gF8J,,,,,33.2,-87.56,anonymous,EN,1,1,7,1,5,"1,2",,6,1,4,14,2,19,,
2022-11-06 18:54:56,2022-11-06 18:56:18,0,174.210.3.231,100,82,1,2022-11-06 18:56:19,R_XCmiUMYS1gZolsl,,,,,38.5904,-90.3467,anonymous,EN,1,1,6,1,4,"1,7",,4,2,4,20,2,18,,
2022-11-06 18:54:31,2022-11-06 18:56:38,0,162.253.25.113,100,126,1,2022-11-06 18:56:38,R_3FWFcdoSspLugNJ,,,,,33.2,-87.56,anonymous,EN,1,1,5,1,4,5,,7,2,1,15,2,19,,
